@relation review

@attribute word numeric
@attribute label3 numeric
@attribute rating numeric

@data
7, 0, 0.1
131, 0, 0.1
717, 0, 0.1
91, 0, 0.1
13670, 0, 0.1
70, 0, 0.1
457, 0, 0.1
1924, 0, 0.1
4, 0, 0.1
2, 0, 0.1
770, 0, 0.1
25, 0, 0.1
1051, 0, 0.1
11, 0, 0.1
23, 0, 0.1
717, 0, 0.1
14, 0, 0.1
13, 0, 0.1
611, 0, 0.1
2741, 0, 0.1
368, 0, 0.1
39, 0, 0.1
571, 0, 0.1
3, 0, 0.1
848, 0, 0.1
4425, 0, 0.1
8, 0, 0.1
9, 0, 0.1
1613, 0, 0.1
4, 0, 0.1
12988, 0, 0.1
2, 0, 0.1
667, 0, 0.1
56, 0, 0.1
11867, 0, 0.1
5836, 0, 0.1
6692, 0, 0.1
14530, 0, 0.1
7655, 0, 0.1
2734, 0, 0.1
16150, 0, 0.1
2513, 0, 0.1
67, 0, 0.1
2, 0, 0.1
79, 0, 0.1
1164, 0, 0.1
1359, 0, 0.1
28, 0, 0.1
146, 0, 0.1
80, 0, 0.1
39, 0, 0.1
1098, 0, 0.1
10567, 0, 0.1
538, 0, 0.1
7, 0, 0.1
23, 0, 0.1
3171, 0, 0.1
657, 0, 0.1
3372, 0, 0.1
4146, 0, 0.1
99, 0, 0.1
198, 0, 0.1
2, 0, 0.1
5844, 0, 0.1
0, 0, 0.1
138, 0, 0.1
56, 0, 0.1
308, 0, 0.1
95, 0, 0.1
2074, 0, 0.1
72, 0, 0.1
0, 0, 0.1
5565, 0, 0.1
1977, 0, 0.1
549, 0, 0.1
4111, 0, 0.1
84, 0, 0.1
554, 0, 0.1
10373, 0, 0.1
321, 0, 0.1
11, 0, 0.1
1715, 0, 0.1
23, 0, 0.1
315, 0, 0.1
762, 0, 0.1
6485, 0, 0.1
29, 0, 0.1
1336, 0, 0.1
7296, 0, 0.1
0, 0, 0.1
91, 0, 0.1
3, 0, 0.1
95, 0, 0.1
6946, 0, 0.1
64, 0, 0.1
557, 0, 0.1
141, 0, 0.1
27, 0, 0.1
2, 0, 0.1
93, 0, 0.1
11, 0, 0.1
39, 0, 0.1
179, 0, 0.1
101, 0, 0.1
64, 0, 0.1
15, 0, 0.1
2630, 0, 0.1
1, 0, 0.1
0, 0, 0.1
111, 0, 0.1
3, 0, 0.1
830, 0, 0.1
406, 0, 0.1
55, 0, 0.1
12, 0, 0.1
1479, 0, 0.1
153, 0, 0.1
39, 0, 0.1
147, 0, 0.1
7, 0, 0.1
0, 0, 0.1
289, 0, 0.1
4, 0, 0.1
2505, 0, 0.1
2, 0, 0.1
15, 0, 0.1
187, 0, 0.1
137, 0, 0.1
10373, 0, 0.1
178, 0, 0.1
1595, 0, 0.1
24, 0, 0.1
4235, 0, 0.1
593, 0, 0.1
1, 0, 0.1
402, 0, 0.1
13, 0, 0.1
4254, 0, 0.1
3, 0, 0.1
1422, 0, 0.1
1, 0, 0.1
17555, 0, 0.1
3, 0, 0.1
19989, 0, 0.1
9, 0, 0.1
4, 0, 0.1
91, 0, 0.1
118, 0, 0.1
0, 0, 0.1
184, 0, 0.1
786, 0, 0.1
26, 0, 0.1
108, 0, 0.1
4131, 0, 0.1
25, 0, 0.1
1051, 0, 0.1
21, 0, 0.1
0, 0, 0.1
166, 0, 0.1
2, 0, 0.1
245, 0, 0.1
108, 0, 0.1
55, 0, 0.1
4, 0, 0.1
26, 0, 0.1
3, 0, 0.1
0, 0, 0.1
17464, 0, 0.1
9884, 0, 0.1
3067, 0, 0.1
242, 0, 0.1
1, 0, 0.1
499, 0, 0.1
27, 0, 0.1
9, 0, 0.1
91, 0, 0.1
36, 0, 0.1
152, 0, 0.1
18, 0, 0.1
8, 0, 0.1
0, 0, 0.1
243, 0, 0.1
963, 0, 0.1
3, 0, 0.1
0, 0, 0.1
6, 0, 0.1
55, 0, 0.1
36, 0, 0.1
6485, 0, 0.1
2123, 0, 0.1
889, 0, 0.1
7, 0, 0.1
1551, 0, 0.1
44, 0, 0.1
276, 0, 0.1
2492, 0, 0.1
2521, 0, 0.1
4, 0, 0.1
154, 0, 0.1
1158, 0, 0.1
177, 0, 0.1
275, 0, 0.1
48, 0, 0.1
2095, 0, 0.1
188, 0, 0.1
48, 0, 0.1
108, 0, 0.1
1049, 0, 0.1
1821, 0, 0.1
1993, 0, 0.1
352, 0, 0.1
1873, 0, 0.1
279, 0, 0.1
177, 0, 0.1
0, 0, 0.1
1026, 0, 0.1
243, 0, 0.1
81, 0, 0.1
22, 0, 0.1
521, 0, 0.1
2, 0, 0.1
15, 0, 0.1
12380, 0, 0.1
4146, 0, 0.1
128, 0, 0.1
47, 0, 0.1
88, 0, 0.1
0, 0, 0.1
11101, 0, 0.1
116, 0, 0.1
181, 0, 0.1
55, 0, 0.1
22, 0, 0.1
902, 0, 0.1
33, 0, 0.1
4024, 0, 0.1
7, 0, 0.1
2996, 0, 0.1
537, 0, 0.1
42, 0, 0.1
530, 0, 0.1
5, 0, 0.1
24, 0, 0.1
1, 0, 0.1
88, 0, 0.1
140, 0, 0.1
5, 0, 0.1
12693, 0, 0.1
6, 0, 0.1
12, 0, 0.1
1479, 0, 0.1
19661, 0, 0.1
29, 0, 0.1
25, 0, 0.1
1659, 0, 0.1
2, 0, 0.1
88, 0, 0.1
33, 0, 0.1
838, 0, 0.1
7, 0, 0.1
0, 0, 0.1
19253, 0, 0.1
14459, 0, 0.1
72, 0, 0.1
6485, 0, 0.1
1, 0, 0.1
11031, 0, 0.1
782, 0, 0.1
248, 0, 0.1
34, 0, 0.1
2643, 0, 0.1
17, 0, 0.1
1359, 0, 0.1
320, 0, 0.1
73, 0, 0.1
7, 0, 0.1
571, 0, 0.1
210, 0, 0.1
1, 0, 0.1
17, 0, 0.1
110, 0, 0.1
567, 0, 0.1
0, 0, 0.1
315, 0, 0.1
24, 0, 0.1
73, 0, 0.1
11, 0, 0.1
1785, 0, 0.1
43, 0, 0.1
623, 0, 0.1
197, 0, 0.1
1449, 0, 0.1
2, 0, 0.1
51, 0, 0.1
1833, 0, 0.1
15323, 0, 0.1
1594, 0, 0.1
1622, 0, 0.1
7929, 0, 0.1
95, 0, 0.1
12415, 0, 0.1
7, 0, 0.1
8, 0, 0.1
130, 0, 0.1
4, 0, 0.1
16886, 0, 0.1
19, 0, 0.1
16, 0, 0.1
4176, 0, 0.1
179, 0, 0.1
548, 0, 0.1
38, 0, 0.1
7849, 0, 0.1
0, 0, 0.1
5676, 0, 0.1
7, 0, 0.1
0, 0, 0.1
2736, 0, 0.1
44, 0, 0.1
7, 0, 0.1
0, 0, 0.1
9306, 0, 0.1
3074, 0, 0.1
0, 0, 0.1
203, 0, 0.1
55, 0, 0.1
83, 0, 0.1
71, 0, 0.1
124, 0, 0.1
538, 0, 0.1
7, 0, 0.1
0, 0, 0.1
683, 0, 0.1
82, 0, 0.1
15, 0, 0.1
1600, 0, 0.1
2, 0, 0.1
673, 0, 0.1
9, 0, 0.1
26, 0, 0.1
143, 0, 0.1
41, 0, 0.1
19736, 0, 0.1
280, 0, 0.1
2939, 0, 0.1
11, 0, 0.1
4004, 0, 0.1
31, 0, 0.1
1548, 0, 0.1
707, 0, 0.1
7, 0, 0.1
92, 0, 0.1
537, 0, 0.1
1, 0, 0.1
18759, 0, 0.1
31, 0, 0.1
12, 0, 0.1
134, 0, 0.1
7, 0, 0.1
269, 0, 0.1
390, 0, 0.1
1, 0, 0.1
368, 0, 0.1
18, 0, 0.1
47, 0, 0.1
246, 0, 0.1
56, 0, 0.1
9623, 0, 0.1
11060, 0, 0.1
148, 0, 0.1
10, 0, 0.1
1820, 0, 0.1
2431, 0, 0.1
326, 0, 0.1
611, 0, 0.1
2741, 0, 0.1
4, 0, 0.1
39, 0, 0.1
1767, 0, 0.1
155, 0, 0.1
3802, 0, 0.1
2, 0, 0.1
5772, 0, 0.1
24, 0, 0.1
4497, 0, 0.1
1, 0, 0.1
7851, 0, 0.1
119, 0, 0.1
21, 0, 0.1
5, 0, 0.1
1659, 0, 0.1
16004, 0, 0.1
14681, 0, 0.1
2379, 0, 0.1
1703, 0, 0.1
63, 0, 0.1
545, 0, 0.1
6, 0, 0.1
1498, 0, 0.1
1476, 0, 0.1
1, 0, 0.1
1965, 0, 0.1
4474, 0, 0.1
24, 0, 0.1
89, 0, 0.1
2771, 0, 0.1
3950, 0, 0.1
1767, 0, 0.1
2379, 0, 0.1
